Timestamp,ForceN,PositionZ,StoppedByForceSensor
2026-03-18T10:45:56.225,-5.18949,52.0198,0
2026-03-18T10:45:56.325,-5.08158,59.49181,0
2026-03-18T10:45:56.441,-4.62051,59.49181,0
2026-03-18T10:45:56.556,-4.46355,64.40464,0
2026-03-18T10:45:56.659,-4.4145,64.40464,0
2026-03-18T10:45:56.774,-4.14963,64.40464,0
2026-03-18T10:45:56.889,-4.0809603,64.40464,0
2026-03-18T10:45:56.989,-4.11039,64.40464,0
2026-03-18T10:45:56.089,-4.1202,71.63176,0
2026-03-18T10:45:57.191,-4.0809603,71.63176,0
2026-03-18T10:45:57.307,-4.0907702,71.63176,0
2026-03-18T10:45:57.422,-4.13001,71.63176,0
2026-03-18T10:45:57.523,-4.13001,79.13113,0
2026-03-18T10:45:57.623,-4.14963,79.13113,0
2026-03-18T10:45:57.725,-4.1202,79.13113,0
2026-03-18T10:45:57.826,-4.14963,83.71213,0
2026-03-18T10:45:57.926,-4.26735,83.71213,0
2026-03-18T10:45:57.039,-4.2477303,83.71213,0
2026-03-18T10:45:57.138,-4.2281103,83.71213,0
2026-03-18T10:45:58.240,-4.3262105,83.71213,0
2026-03-18T10:45:58.340,-4.3850703,83.71213,0
2026-03-18T10:45:58.457,-4.4046903,83.71213,0
2026-03-18T10:45:58.572,-4.3948803,83.71213,0
2026-03-18T10:45:58.688,-4.36545,83.71213,0
2026-03-18T10:45:58.790,-4.33602,91.19241,0
2026-03-18T10:45:58.905,-4.2281103,91.19241,0
2026-03-18T10:45:58.005,-4.0907702,91.19241,0
2026-03-18T10:45:58.105,-4.0417204,91.19241,0
2026-03-18T10:45:59.207,-4.11039,91.19241,0
2026-03-18T10:45:59.322,-4.1986804,103.3521,0
2026-03-18T10:45:59.438,-4.29678,103.3521,0
2026-03-18T10:45:59.538,-4.8363304,103.3521,0
2026-03-18T10:45:59.638,-5.1796803,103.3521,0
2026-03-18T10:45:59.738,-5.3856907,111.7468,0
2026-03-18T10:45:59.840,-5.54265,111.7468,0
2026-03-18T10:45:59.956,-5.8173304,111.7468,0
2026-03-18T10:45:59.062,-6.28821,111.7468,0
2026-03-18T10:46:00.175,-6.2587805,111.7468,0
2026-03-18T10:46:00.279,-6.2097306,111.7468,0
2026-03-18T10:46:00.384,-6.05277,111.7468,0
2026-03-18T10:46:00.488,-5.77809,121.1956,0
2026-03-18T10:46:00.588,-5.6211305,121.1956,0
2026-03-18T10:46:00.688,-5.54265,121.1956,0
2026-03-18T10:46:00.788,-5.3856907,121.1956,0
2026-03-18T10:46:00.889,-5.22873,121.1956,0
2026-03-18T10:46:00.993,-4.9834805,121.1956,0
2026-03-18T10:46:00.097,-2.7173703,132.5431,0
2026-03-18T10:46:01.212,-1.1772001,132.5431,0
2026-03-18T10:46:01.322,-0.22563002,132.5431,0
2026-03-18T10:46:01.422,0.08829,132.5431,0
2026-03-18T10:46:01.521,0.18639,132.5431,0
2026-03-18T10:46:01.637,0.1962,140.991,0
2026-03-18T10:46:01.737,0.13734001,140.991,0
2026-03-18T10:46:01.841,0.068670005,140.991,0
2026-03-18T10:46:01.944,0.04905,140.991,0
2026-03-18T10:46:01.046,0.039240003,140.991,0
2026-03-18T10:46:01.162,0.13734001,144.5569,0
2026-03-18T10:46:02.262,0.62784004,144.5569,0
2026-03-18T10:46:02.362,1.4616901,144.5569,0
2026-03-18T10:46:02.463,2.9430003,144.5569,0
2026-03-18T10:46:02.578,3.7278001,144.5569,0
2026-03-18T10:46:02.677,4.1692505,144.5569,0
2026-03-18T10:46:02.789,4.3752604,144.1034,0
2026-03-18T10:46:02.889,4.6695604,144.1034,0
2026-03-18T10:46:02.988,5.54265,144.1034,0
2026-03-18T10:46:02.104,5.89581,144.1034,0
2026-03-18T10:46:03.210,6.03315,144.1034,0
2026-03-18T10:46:03.324,6.2685905,144.1034,0
2026-03-18T10:46:03.426,6.15087,138.7748,0
2026-03-18T10:46:03.526,5.9939103,138.7748,0
2026-03-18T10:46:03.640,5.8075204,138.7748,0
2026-03-18T10:46:03.739,5.6309404,134.3278,0
2026-03-18T10:46:03.855,5.2091103,134.3278,0
2026-03-18T10:46:03.959,4.9834805,134.3278,0
2026-03-18T10:46:03.060,4.74804,134.3278,0
